location,lat,lon
"Aeropuerto de Lisboa, Alameda das Comunidades Portuguesas, 1700-111 Lisboa, Portugal",38.7809542,-9.1319006
"C. de Méndez Álvaro, 83, Arganzuela, 28045 Madrid, España",40.3937627,-3.677371
"C. de la estación de las Delicias, 5, 28770 Colmenar Viejo, Madrid, España",40.6491276,-3.7896977
"Mononoke Board Game Café, Cam. de las Torres, 116, 50007 Zaragoza, España",41.33583,-1.56275
"Observatorio Astronómico Albanyá, Camí de Bassegoda, s/n, 17733 Bassegoda, Girona, España",42.3043,2.72
"Olot, Girona, España",42.1822177,2.4890211
"Ruïnes d'Empúries, C/ Puig i Cadafalch, s/n, 17130 L'Escala, Girona, España",42.132,3.1213
"Fisioteràpia Girona Maria Vegas, Carrer de la Rutlla, 124, 17002 Girona, España",41.98311,2.82493
"Kayak del Ter, Av. Costa Brava S/N, Parc del Ter, 17144 Colomers, Girona, España",42.0833,2.9833
"Sant Feliu de Pallerols, 17174 Sant Feliu de Pallerols, Girona, España",42.0781182,2.5075934
"Plaza de la Independencia, Pl. de la Independència, 17001 Girona, España",41.9831,2.8249
"Girona Explorers, Plaça de la Independència, Girona, Girona, 17001, ES",41.9831,2.8249
"La Cocina de Keyla, C. de S. Miguel, 39, Casco Antiguo, 50001 Zaragoza, España",,
"Carrer Cardenal Margarit, 7, 1, 17002 Girona, España",41.9762456,2.8212205
"Restaurante El Truco | Zaragoza, C. de los Estébanes, 2, Casco Antiguo, 50003 Zaragoza, España",,
"Cl. del Monasterio de Samos, 33, 50013 Zaragoza",41.6561,-0.8773
"Le Petit Comité, C. de Don Hernando de Aragón, 1, Casco Antiguo, 50001 Zaragoza, España",,
"Av. de César Augusto, 115, Casco Antiguo, 50003 Zaragoza, España",41.6569615,-0.882573
"B&B HOTEL Zaragoza Plaza Mozart, Hostal, Av. de la Jota, 2, 50014 Zaragoza, España",,
"Clínica Dental Vitaldent, Calle Mairena, 26, 41500 Alcalá de Guadaíra, Sevilla, España",37.3379,-5.8395
"Palacio de la Prensa, Centro, Madrid, España",40.4206956,-3.7059349
"Le Sweet, Gluten Free, Sugar Free & Keto, Pastelería Consciente 📞664 31 27 50, C. de Hermosilla, 67, Salamanca, 28001 Madrid, España",,
"Kinépolis Madrid Diversia, Parque de Ocio Diversia, Av de Bruselas, 21, 28108 Alcobendas (Madrid), 
Madrid",40.5475,-3.642
"Real Sitio de San Ildefonso, 40100 Real Sitio de San Ildefonso, Segovia, España",40.8993257,-4.0064362
"Teatro Lope de Vega, Gran Vía, 57, Centro, 28013 Madrid, España",40.4217768,-3.70869
"Oven Mozzarella Gran Via 55, Gran Vía, 55, Madrid, MD, 28013, ES",,
"CALLE DOLORES IBARRURI,  4 - 28100 ALCOBENDAS",40.5502838,-3.6548236
"Centro Andaluz de Arte Contemporáneo, C. Américo Vespucio, 2, 41092 Sevilla, España",,
"C. de la Estación de Atocha, 3, 28770 Colmenar Viejo, Madrid, España",40.6503559,-3.7896541
"Replay Outlet Cafe, Calle de la Ribera de Curtidores, 26, Local 3, 28005 Madrid, España",,
"C. Tanger, 18, 28703 San Sebastián de los Reyes, Madrid, España",40.5558831,-3.6252253
"SETTEBELLO Ristorante, Calle de Nuestra Señora de Valverde, 191, Madrid, MD, 28034, ES",,
"il Fratello - Dos Hermanas, 41702 Dos Hermanas, Sevilla, Av. de España, 181, 41702 Sevilla",,
"Il Fratello - Dos Hermanas, Avenida de España, 181, Dos Hermanas, AN, 41702, ES",37.28287,-5.92088
"Bar La Cuestecilla, C. Silos, 21, 41500 Alcalá de Guadaíra, Sevilla, España",37.3379,-5.8395
"Centro Médico Averroes, C. de Miguel Hernández, 19, 28220 Majadahonda, Madrid, España",40.4668378,-3.8763809
"Sala But, C. de Barceló, 11, Local B, Centro, 28004 Madrid, España",40.4165,-3.7026
"Teatro Circo Price, Rda. de Atocha, 35, Arganzuela, 28012 Madrid, España",40.4165,-3.7026
"Zuma, P.º de la Castellana, 2, Salamanca, 28046 Madrid, España",40.4262959,-3.6896521
"Naked & Sated, C. del Maestro Victoria, 5, Centro, 28013 Madrid, España",40.4184488,-3.7053911
"C. de Bravo Murillo, 82, Chamberí, 28003 Madrid, España",40.4451019,-3.70383
"Ya'sta Club, C/ Valverde, 10, 28004 MADRID",40.4165,-3.7026
"Atávico - Gastronomía Ancestral, Av. de la Borbolla, 3, 41004 Sevilla, España",37.3824,-5.9761
"C. Don Carlos Soto, 3, 41703 Dos Hermanas, Sevilla, España",37.2881139,-5.944209
"Campos de fútbol Gabriel Pedregal, Av. de la Dehesa, s/n, 28700, Madrid, España",40.5443,-3.6159
"Kiraku - Callao, C de Miguel Moya, 6, 28004 Madrid",40.4165,-3.7026
"Kocina2, C. de Sta. María Magdalena, 19, Chamartín, 28016 Madrid, España",40.4165,-3.7026
"WiZink Center, Av. de Felipe II, s/n, Salamanca, 28009 Madrid, España",40.4165,-3.7026
"Polideportivo Municipal Dehesa Boyal, Av. Navarrondan, s/n, 28702 San Sebastián de los Reyes, Madrid, España",40.5691965,-3.6333695
"Parking Colegio Retamar, C5GR+JP, 28223, Madrid, España",40.4329,-3.8134
"C. de Perú, 8, 28823 Coslada, Madrid, España",40.4238,-3.5613
"Navacerrada, 28491 Navacerrada, Madrid, España",40.7432995,-4.0244296
"Fox in a Box, C/ del Áncora, 12, Arganzuela, 28045 Madrid, España",40.4165,-3.7026
"C. del Marqués de la Valdavia, 153, 28100 Alcobendas, Madrid, España",40.5467945,-3.6537861
"Replay boardgame Cafe, C/ de la Ribera de Curtidores, 26, Local 3, Centro, 28005 Madrid, España",,
"El Manicomio Tattoo & Piercing, C. de Gaztambide, 26, Chamberí, 28015 Madrid, España",40.4165,-3.7026
"Roberto Carrillo peluquería hombre, Calle del Gral. Palanca, 42, Arganzuela, 28045 Madrid, España",40.40021,-3.69618
"Nomad Museo, Calle Gran Vía 78, Madrid, Madrid, 28013, España",40.4165,-3.7026
"Hospital Universitario Fundación Jiménez Díaz, Av. de los Reyes Católicos, 2, Moncloa - Aravaca, 28040 Madrid, España",,
"Brooklyn Fitboxing Alcobendas norte, P.º de Fuente Lucha, 14, 28100 Alcobendas, Madrid, España",40.5475,-3.642
"Bar La Gruta Tapa´s Nervion, C. Benito Mas y Prat, 4, 41005 Sevilla, España",,
"Restaurante La Majjareta Montequinto, C. Calígula, Nº54, 41089 Dos Hermanas, Sevilla, España",37.2829,-5.9209
"Mamma Pronto, C. Presidente Rivadavia, 2, 11001 Cádiz, España",36.5298,-6.2947
"Restaurante-Arrocería La Pepa, P.º Marítimo, 14, Local, 11010 Cadiz",36.5298,-6.2947
"L'Antica Trattoria, Pensamiento, 25, 28020 MADRID",40.4165,-3.7026
"Polideportivo Municipal Dehesa Boyal, Av. de Navarrondán, s/n, 28702 San Sebastián de los Reyes, Madrid, España",40.5691965,-3.6333695
"AMAZONIA ACAI ALCOBENDAS, P.º de la Chopera, 122, 28100 Alcobendas, Madrid, España",40.5475,-3.642
"HERSAMOTOR, La granja 29, 28108, Alcobendas",40.5475,-3.642
"C. Ventura Rodríguez, 4, 33004 Oviedo, Asturias, España",43.363737,-5.8535868
"Calle de María de Molina, 26, Salamanca, 28006 Madrid, España",40.4375746,-3.6848021
"Heladeria Véneta, C. del Carmen, 15, Centro, 28013 Madrid, España",40.4165,-3.7026
"Lalina Bravas y Tapas Chueca - gluten free -, Calle de Gravina, 18, Madrid, MD, 28004, ES",,
"Horreo, 7, 15702 Santiago de Compostela, España",42.876376,-8.5437527
"Rúa Corredoira da Barca Nº5, 15900 Padrón, España",42.7388,-8.6606
"21 Rúa Joan Fuentes Echevarría , 36650 Caldas de Reis, España",42.6299,-8.627
"Fisionova, Rúa Condesa de Pardo Bazán, 3, Bajo, 36002 Pontevedra, España",42.431,-8.6444
"Avenida Santa María, 36002 Pontevedra, España",42.3914926,-8.7015591
"Pai Crespo, 55 , 36800 Redondela, España",42.2796517,-8.6102611
"Alojamiento Camino Portugues, O Porriño",42.1626458,-8.6256927
"Jacob's Hostel Tui, R. Bispo Lago, núm. 5, 36700 Tui, Pontevedra, España",41.9844,-8.7434
"Parque cidade porto, Av. do Parque 595, 4100-376 Porto, Portugal",41.15,-8.6167
"R. do Morgado de Mateus 47, 4000-301 Porto, Portugal",41.1470842,-8.6002519
"El Bosque Encantado, No poner GPS, estamos entre las dos rotondas de, Siga las flechas de Jardín Botánico, Camino Marañones, 217, 28680 San Martín de Valdeiglesias, Madrid, España",40.1586,-3.8693
"El Escorial, 28280 El Escorial, Madrid, España",40.5861927,-4.1318587
"Valle de Cuelgamuros, Carretera de Guadarrama/El Escorial, 28209 San Lorenzo de El Escorial, Madrid, España",40.59144,-4.14738
"Pizza Natura saludable y sin gluten, Calle de Jovellanos, 6, Madrid, MD, 28014, ES",,
"Café Berlín, C, Cost.ª de los Ángeles, 20, Centro, 28013 Madrid, España",40.4165,-3.7026
"Restaurante Nicontrigonisinti, Calle de María Blanchard, 12, San Sebastián de los Reyes, MD, 28702, ES",,
"CAPYBARA GASTRO BAR, 28100 Alcobendas, Madrid, P.º de Valdelasfuentes, 10, 28100 Alcobendas",40.54746,-3.64197
"C. Fernández y González, 4, 41001 Sevilla",37.3877411,-5.9946801
"C. Rábida, 44, 41500 Alcalá de Guadaíra, Sevilla, España",37.3281354,-5.855995
"Cine Yelmo Ideal, Calle del Dr Cortezo, 6, Centro, 28012 Madrid, España",40.4165,-3.7026
"Calle Dr. Juan Bravo, 29, Fuencarral-El Pardo, 28034 Madrid, España",40.4931632,-3.6880132
"Plaza de la Constitución, Pl. de la Constitución, 28607 El Álamo, Madrid, España",40.2307,-3.9945
"CLINICA IMPROVE, C. del Alto, s/n, 28108 Alcobendas, Madrid, España",40.5475,-3.642
"Replay Outlet boardgame Cafe, C/ de la Ribera de Curtidores, 26, Local 3, Centro, 28005 Madrid, España",,
"Naked & Sated Serrano, C. de Serrano, 110, 112, Salamanca, 28006 Madrid, España",40.4165,-3.7026
"Polideportivo Municipal Eduardo López Mateo, Av. de Aragón, 2, 28701 San Sebastián de los Reyes, Madrid, España",40.5443,-3.6159
"Avenida de Guadarrama, Av. de Guadarrama, 9, 28701 San Sebastián de los Reyes, Madrid, España",40.5443,-3.6159
"Museo del Ferrocarril de Madrid, Paseo de las Delicias, 61, Arganzuela, 28045 Madrid, España",40.3993218,-3.6921489
"C. de Ruperto Chapí, 30, 28100 Alcobendas, Madrid, España",40.5479059,-3.6447354
"CINESA PRINCIPE PÍO · ISENSE, Estación Príncipe Pío, C. de Mozart, 2, Moncloa - Aravaca, 28008 Madrid, España",,
"La Manon Boulangerie & Bistro, C. de Sagasta, 5, Chamberí, 28004 Madrid, España",40.4165,-3.7026
"Lima 11 Restaurante, C. de María Panés, 13, Chamberí, 28003 Madrid, España",40.4165,-3.7026
"Av. de España, 52, 28100 Alcobendas, Madrid, España",40.5441981,-3.6437163
"Restaurante El Porron de Navacerrada, Pl. del Gargantón, 7, 28491 Navacerrada, Madrid, España",40.4353,-3.6495
